PEOE_VSA11,PEOE_VSA3,PEOE_VSA5,SMR_VSA10,TPSA,Value
5.817863,23.760303,10.197364,22.929129,119.47,7.46
5.647177,9.499376,0.0,16.983963,58.67,7.7
23.133465,18.748787,0.0,38.33812,59.51,7.0
15.597501,17.79219,0.0,21.539299,81.43,6.52
5.817863,23.760303,10.197364,22.929129,119.47,7.74
5.711685,13.843589,0.0,33.23672,140.96,6.56
5.647177,9.499376,0.0,16.983963,42.66,7.74
0.0,13.139892,0.0,39.13235,63.24,4.85
17.259272,4.9839787,12.407033,24.109077,56.52,5.95
15.597501,13.401775,0.0,21.539299,81.43,6.54
5.8244047,9.9679575,0.0,22.669127,80.65,7.15
5.647177,9.499376,0.0,5.647177,55.43,7.15
0.0,9.9679575,0.0,17.542906,79.18,6.4
11.499023,14.358372,0.0,34.009113,85.73,8.4
0.0,13.139892,0.0,44.819736,106.38,4.8
0.0,13.139892,0.0,39.13235,72.47,6.46
0.0,9.9679575,0.0,11.635726,55.63,6.82
11.499023,14.358372,0.0,22.408175,83.3,6.3
11.499023,14.358372,12.407033,50.74515,62.75,7.52
11.499023,14.358372,0.0,34.009113,68.74,6.52
16.98673,14.366798,0.0,32.520256,62.74,6.67
5.647177,19.277893,5.098682,34.086464,84.21,6.6
5.760247,4.9839787,0.0,11.702045,56.52,5.77
34.767906,31.920033,0.0,45.60368,143.36,5.49
5.647177,9.499376,0.0,5.647177,55.55,7.54
15.597501,13.401775,0.0,33.14024,81.43,6.03
0.0,13.139892,0.0,27.53141,63.24,4.66
5.817863,28.55484,0.0,34.709755,122.12,7.21
11.499023,14.358372,0.0,22.408175,68.3,6.6
0.0,14.762494,0.0,28.569765,103.88,6.06
23.133465,18.748787,0.0,34.009113,68.3,7.0
0.0,13.139892,0.0,39.13235,63.24,5.2
11.499023,14.358372,0.0,38.33812,59.51,7.4
